area_sqft,bedrooms,bathrooms,stories,parking_spaces,house_age,distance_city_km,property_type,location_quality,furnishing_status,mainroad,basement,has_garden,price
3865,6,3.0,1,2.0,5,23.4,House,,Unfurnished,Yes,No,Yes,34000159
4502,1,4.0,2,2.0,20,40.0,House,Medium,Semi-Furnished,Yes,No,No,37577737
6138,3,4.0,3,2.0,50,2.0,House,Medium,Unfurnished,Yes,Yes,Yes,52350300
3094,2,1.0,1,1.0,2,1.0,Apartment,Medium,Furnished,Yes,No,Yes,27734939
1422,2,2.0,1,2.0,10,14.7,Apartment,Low,Semi-Furnished,No,Yes,No,13207983
5487,6,3.0,3,,1,15.3,Apartment,Medium,Furnished,No,No,No,46628230
4260,5,5.0,2,0.0,22,35.5,Townhouse,Low,Furnished,No,No,Yes,37219583
4686,2,1.0,1,3.0,54,36.6,Townhouse,Low,Unfurnished,Yes,No,Yes,34001479
1038,5,1.0,1,2.0,37,35.3,Villa,Medium,,Yes,No,No,10553231
2339,3,5.0,3,0.0,27,6.6,Apartment,High,Furnished,Yes,Yes,No,23517268
5095,1,5.0,3,1.0,7,17.1,House,Medium,Semi-Furnished,No,No,No,43308716
5485,4,1.0,2,0.0,19,,Apartment,Medium,Unfurnished,Yes,No,No,41487861
3083,2,3.0,2,2.0,28,13.2,House,High,Unfurnished,Yes,Yes,No,27399008
5318,2,4.0,3,3.0,15,26.9,Apartment,Medium,Unfurnished,Yes,Yes,No,43361949
5542,7,1.0,1,1.0,38,10.2,Villa,Low,Furnished,Yes,Yes,No,48156377
2794,5,2.0,1,1.0,53,13.6,Apartment,Medium,Semi-Furnished,Yes,Yes,Yes,23362485
5883,1,2.0,3,0.0,11,34.6,House,Medium,Semi-Furnished,Yes,No,No,44560910
2194,6,4.0,1,1.0,13,10.8,Townhouse,Medium,Furnished,Yes,No,No,23136505
1899,5,2.0,3,1.0,6,38.6,House,Medium,,Yes,Yes,No,16922178
4579,7,3.0,2,0.0,39,12.9,Apartment,Medium,Semi-Furnished,Yes,No,Yes,38721062
4302,6,2.0,3,1.0,25,1.9,Townhouse,Medium,Unfurnished,Yes,No,No,38001679
1295,3,4.0,1,3.0,15,10.9,House,Premium,Unfurnished,Yes,Yes,No,18256048
5488,4,,3,3.0,12,7.7,House,Medium,Unfurnished,Yes,No,No,45747703
1659,4,2.0,1,1.0,3,20.8,House,Medium,Unfurnished,Yes,Yes,Yes,17256900
5319,6,2.0,1,3.0,26,5.4,Townhouse,Medium,Semi-Furnished,Yes,No,No,46526079
494,2,5.0,3,0.0,37,25.4,House,High,Semi-Furnished,Yes,Yes,No,8578176
5270,3,5.0,2,3.0,12,35.1,House,High,,Yes,No,Yes,47034262
5210,2,3.0,3,1.0,0,15.1,House,High,Unfurnished,Yes,No,Yes,47261372
5171,3,1.0,1,2.0,26,7.6,Apartment,Medium,Semi-Furnished,Yes,Yes,No,43212614
4472,2,4.0,1,0.0,37,16.6,Villa,Medium,Unfurnished,No,No,No,38427965
3302,1,3.0,2,3.0,18,31.7,Apartment,High,Furnished,Yes,No,Yes,30514355
4716,7,5.0,3,1.0,13,24.1,House,Medium,,Yes,Yes,Yes,42958271
2126,1,2.0,2,3.0,8,4.9,House,Premium,Semi-Furnished,Yes,Yes,Yes,26308784
5173,7,5.0,3,0.0,41,22.0,Apartment,Medium,Semi-Furnished,Yes,Yes,Yes,45259288
3811,1,5.0,3,2.0,47,19.3,House,Medium,Semi-Furnished,Yes,No,Yes,33585225
3226,6,2.0,3,0.0,42,13.8,House,Medium,Semi-Furnished,Yes,No,Yes,27598953
3508,3,4.0,2,3.0,28,,Apartment,Medium,Furnished,No,No,No,31682942
3890,4,2.0,3,1.0,39,39.3,Apartment,High,Furnished,Yes,No,Yes,31920183
675,2,2.0,2,2.0,21,7.9,Villa,Low,Semi-Furnished,Yes,No,Yes,12609854
1295,4,2.0,3,3.0,1,8.5,Townhouse,Medium,Semi-Furnished,Yes,No,No,15003938
1935,4,4.0,2,2.0,20,6.7,House,Medium,Furnished,Yes,No,No,20247139
1142,4,2.0,2,0.0,38,23.2,Apartment,,Unfurnished,Yes,No,No,8439630
3109,3,4.0,2,0.0,35,18.3,Apartment,Medium,Semi-Furnished,Yes,No,Yes,26360055
4493,4,3.0,2,0.0,54,10.7,Apartment,Premium,Semi-Furnished,No,No,Yes,41179756
4409,6,4.0,3,3.0,54,17.7,House,High,,No,No,No,38308993
3300,4,5.0,3,3.0,13,27.3,Townhouse,Medium,Semi-Furnished,Yes,Yes,No,31381430
5623,3,1.0,2,1.0,0,12.0,House,High,Unfurnished,No,Yes,No,48490015
3869,1,5.0,1,3.0,15,36.7,Apartment,Premium,Unfurnished,No,No,No,33473239
929,3,1.0,2,0.0,48,12.9,Townhouse,Medium,Semi-Furnished,Yes,Yes,No,9068323
5078,1,3.0,1,2.0,44,,House,Medium,Furnished,Yes,Yes,Yes,42991291
3926,2,2.0,1,1.0,5,38.2,Apartment,Medium,Furnished,Yes,No,No,29917599
4290,7,4.0,1,0.0,8,32.6,House,High,Unfurnished,Yes,No,No,37656358
3870,1,4.0,2,,30,14.4,Apartment,Low,Unfurnished,Yes,No,No,30911740
3799,4,5.0,3,1.0,36,33.8,Townhouse,High,Furnished,No,No,No,34335119
997,6,3.0,2,1.0,54,21.2,House,Medium,Semi-Furnished,Yes,No,Yes,11583851
3833,7,5.0,2,,41,14.5,House,Medium,Semi-Furnished,Yes,No,Yes,34923192
5259,2,2.0,1,1.0,11,33.7,House,,Semi-Furnished,Yes,Yes,Yes,42235107
2288,2,2.0,3,0.0,2,30.3,Townhouse,High,Unfurnished,Yes,No,No,21811466
4097,3,2.0,1,3.0,34,12.6,House,Medium,Furnished,Yes,No,No,33876907
636,4,3.0,3,1.0,30,24.7,House,Medium,Semi-Furnished,Yes,Yes,Yes,8504899
2552,7,4.0,3,0.0,50,15.4,Apartment,Medium,Semi-Furnished,Yes,Yes,No,22839882
3092,2,5.0,3,2.0,31,1.0,Townhouse,Low,Furnished,Yes,Yes,No,28854684
6395,2,2.0,1,,27,38.5,House,Medium,Semi-Furnished,Yes,Yes,No,49906711
1748,2,2.0,1,1.0,16,22.4,Apartment,Premium,Furnished,No,Yes,Yes,20388974
2123,7,5.0,1,3.0,4,24.3,Townhouse,Medium,Semi-Furnished,No,No,No,21889261
2921,1,3.0,3,2.0,48,24.4,Apartment,High,Semi-Furnished,Yes,Yes,No,24737234
6455,3,2.0,1,2.0,45,22.5,Apartment,Low,Furnished,Yes,No,Yes,49074282
5613,1,5.0,3,1.0,8,12.3,House,High,Furnished,No,No,No,48769382
659,2,3.0,1,0.0,38,38.9,Apartment,Medium,Furnished,Yes,No,No,5876905
1865,7,5.0,1,1.0,20,25.2,House,Medium,Furnished,Yes,No,Yes,19597990
5421,1,5.0,1,3.0,24,27.2,Apartment,Medium,Semi-Furnished,Yes,No,Yes,42816213
802,3,,3,3.0,46,18.7,Apartment,Low,Unfurnished,Yes,No,No,7859944
5626,7,3.0,2,3.0,46,12.2,Apartment,Medium,Semi-Furnished,Yes,No,No,46388269
2152,5,4.0,2,3.0,10,3.5,Apartment,Medium,Furnished,No,No,No,23393209
6001,1,5.0,2,1.0,16,14.7,Townhouse,Medium,Semi-Furnished,Yes,No,No,52040205
2226,4,2.0,2,1.0,45,7.9,House,Premium,Semi-Furnished,No,Yes,Yes,23297683
3077,7,1.0,2,3.0,50,26.8,House,Medium,Furnished,Yes,No,Yes,25798607
4454,3,2.0,2,2.0,4,35.3,House,Premium,Furnished,Yes,No,No,41826825
1213,4,4.0,1,1.0,45,12.8,House,Medium,Furnished,Yes,No,Yes,14378011
3820,4,3.0,1,1.0,26,14.0,Apartment,Low,Semi-Furnished,Yes,Yes,No,32220073
3505,5,1.0,2,3.0,32,27.1,Apartment,Medium,Semi-Furnished,Yes,No,No,27108618
5192,2,3.0,1,0.0,4,6.8,House,Medium,Furnished,Yes,No,Yes,46348499
6476,6,1.0,2,0.0,37,37.2,House,Medium,Unfurnished,Yes,No,No,49622465
4469,7,3.0,1,2.0,37,15.2,Villa,High,Unfurnished,Yes,Yes,No,41856984
2925,1,3.0,3,0.0,36,4.9,Townhouse,High,Furnished,Yes,Yes,Yes,28506065
2908,6,4.0,1,0.0,43,7.8,Villa,Medium,Semi-Furnished,Yes,Yes,No,28909826
2978,6,3.0,1,,52,37.4,Apartment,Medium,Semi-Furnished,Yes,Yes,No,24709438
5374,6,3.0,2,1.0,46,10.6,Apartment,Medium,Unfurnished,No,No,No,41548829
2393,3,4.0,1,2.0,40,26.8,Apartment,Medium,Semi-Furnished,No,No,No,17920981
1460,4,4.0,2,1.0,53,7.1,Villa,Low,Furnished,Yes,No,No,15810478
2472,6,5.0,1,0.0,37,8.6,Townhouse,Low,Semi-Furnished,Yes,No,No,22836461
587,2,2.0,1,0.0,36,35.3,Townhouse,Medium,Semi-Furnished,No,Yes,No,4171537
1092,6,3.0,3,3.0,29,6.8,Apartment,Low,Semi-Furnished,Yes,Yes,No,14027914
994,7,2.0,3,0.0,42,1.7,Villa,High,Furnished,Yes,No,Yes,17454173
5117,5,3.0,1,2.0,3,20.5,House,Low,Furnished,Yes,No,Yes,44500457
4820,3,1.0,3,1.0,27,34.6,Villa,Low,Semi-Furnished,No,No,Yes,39190294
4665,4,3.0,3,1.0,23,13.7,House,High,Semi-Furnished,Yes,No,Yes,42588092
3244,1,1.0,2,3.0,50,6.0,Apartment,Premium,Unfurnished,No,No,Yes,26940865
4788,7,3.0,2,,3,39.3,Apartment,Medium,,Yes,No,No,40563726
1425,3,5.0,3,2.0,35,27.4,Townhouse,Medium,Unfurnished,No,No,No,12693228
5898,1,5.0,2,1.0,10,34.2,House,High,Semi-Furnished,Yes,No,No,48776641
3481,6,3.0,2,1.0,48,30.3,House,Low,Semi-Furnished,Yes,No,No,27607492
6125,5,,2,2.0,46,28.2,House,Medium,Unfurnished,No,Yes,Yes,47641135
1371,5,2.0,3,0.0,12,16.0,House,Low,Unfurnished,Yes,No,No,13923837
3458,1,1.0,3,0.0,47,13.6,Townhouse,Medium,Unfurnished,Yes,No,Yes,27332445
4662,6,4.0,1,2.0,27,29.0,Apartment,Premium,Unfurnished,Yes,No,No,40751801
3448,5,5.0,2,2.0,53,29.0,Apartment,High,Semi-Furnished,Yes,Yes,No,31219682
3149,6,3.0,3,0.0,40,38.1,Villa,Premium,Unfurnished,Yes,No,No,31020159
1455,6,1.0,1,3.0,1,23.2,House,High,Unfurnished,Yes,Yes,No,17213906
2755,2,1.0,3,2.0,11,12.5,Apartment,Medium,Furnished,Yes,No,No,24821768
1894,2,5.0,3,0.0,22,20.1,Apartment,High,Unfurnished,Yes,No,Yes,18516103
2274,7,2.0,3,3.0,11,24.9,Apartment,High,Furnished,Yes,No,No,25452195
4586,4,1.0,1,3.0,7,17.6,Apartment,Medium,Semi-Furnished,Yes,Yes,Yes,38098727
4263,4,1.0,2,1.0,53,31.9,Apartment,Medium,Semi-Furnished,No,Yes,Yes,31844152
4123,3,2.0,2,1.0,47,23.8,Apartment,Medium,Semi-Furnished,Yes,Yes,No,31412016
2638,5,4.0,2,1.0,23,1.4,House,Medium,Unfurnished,No,Yes,Yes,26297827
6256,6,5.0,3,2.0,11,23.2,Villa,Medium,Furnished,No,No,No,55610769
980,1,2.0,2,0.0,9,25.7,Townhouse,Low,Furnished,Yes,No,No,8723961
2522,4,4.0,2,1.0,50,36.7,House,Medium,Unfurnished,Yes,No,No,20390208
1163,7,1.0,3,0.0,18,17.1,Apartment,Medium,Semi-Furnished,No,No,No,10354067
2500,2,1.0,3,0.0,0,23.4,Townhouse,Medium,Semi-Furnished,Yes,No,No,22852208
6269,2,1.0,3,1.0,21,19.5,Villa,Medium,Furnished,Yes,Yes,No,53583584
2665,7,5.0,2,2.0,24,21.7,House,,Furnished,Yes,Yes,Yes,26861698
5946,1,3.0,3,3.0,34,,Apartment,Premium,Unfurnished,Yes,Yes,No,52428947
3445,3,5.0,1,0.0,18,36.0,Apartment,Medium,Furnished,No,No,Yes,28403891
4683,4,1.0,2,0.0,50,36.5,House,Medium,Furnished,No,Yes,No,34122394
3217,6,1.0,2,1.0,35,22.4,House,Low,Semi-Furnished,Yes,Yes,No,25399810
2058,1,5.0,1,2.0,54,22.7,Apartment,High,Unfurnished,No,Yes,No,17696197
5073,4,1.0,2,3.0,20,3.2,Townhouse,Medium,Furnished,Yes,No,No,44554013
6313,2,1.0,2,2.0,35,24.3,House,Medium,Semi-Furnished,Yes,No,No,48828110
2044,6,3.0,2,2.0,20,17.7,House,Medium,Unfurnished,Yes,Yes,Yes,20880535
5161,5,4.0,1,0.0,38,28.7,Apartment,High,Furnished,Yes,Yes,No,42829712
2029,4,2.0,1,0.0,41,2.8,Villa,Premium,Semi-Furnished,Yes,No,No,23449402
4787,3,3.0,1,0.0,17,28.7,House,Medium,Furnished,Yes,No,Yes,38158450
5223,2,4.0,2,2.0,51,12.2,Apartment,Low,Semi-Furnished,No,No,Yes,40968928
3168,7,3.0,1,1.0,47,26.4,House,Low,Unfurnished,Yes,No,Yes,26165009
4908,5,2.0,2,0.0,49,25.5,House,Low,Furnished,No,Yes,No,38211148
2097,3,1.0,3,2.0,11,9.8,Villa,High,Semi-Furnished,Yes,No,Yes,26106434
929,3,3.0,3,3.0,39,18.2,Apartment,Premium,Semi-Furnished,Yes,No,No,11789294
1033,6,5.0,1,1.0,5,33.6,Townhouse,Premium,Semi-Furnished,Yes,Yes,Yes,17203807
3154,6,4.0,3,3.0,5,24.6,House,High,Unfurnished,Yes,No,No,31263117
5910,4,5.0,1,2.0,53,3.7,Apartment,Low,Semi-Furnished,Yes,No,No,47647890
1221,3,1.0,1,2.0,8,18.3,Apartment,Premium,Semi-Furnished,No,No,Yes,13434012
3207,5,1.0,1,3.0,47,13.2,Apartment,Medium,Furnished,Yes,No,Yes,27387628
4709,5,3.0,1,0.0,23,26.0,Apartment,Medium,Furnished,No,Yes,No,38465885
1674,5,1.0,3,3.0,16,25.0,House,High,Semi-Furnished,Yes,Yes,No,16377946
4815,1,3.0,1,3.0,4,1.4,House,Low,Unfurnished,Yes,Yes,Yes,42177962
2301,4,5.0,3,3.0,37,24.7,Apartment,High,Semi-Furnished,Yes,No,No,21379413
5342,5,2.0,2,2.0,39,29.7,Townhouse,Premium,Unfurnished,Yes,Yes,No,45651709
3954,7,3.0,1,3.0,25,,Apartment,High,Furnished,No,No,No,33081109
3758,4,4.0,2,3.0,44,3.3,House,High,Semi-Furnished,Yes,Yes,No,35823870
1519,3,1.0,1,3.0,17,12.8,Townhouse,Medium,Furnished,No,No,No,16729999
3252,4,5.0,2,3.0,30,17.4,Villa,Low,Semi-Furnished,Yes,No,Yes,31980721
5632,2,2.0,2,3.0,15,8.0,House,High,Unfurnished,Yes,No,No,46109754
568,1,5.0,2,1.0,32,17.4,House,Medium,Furnished,No,Yes,Yes,9256836
5039,5,4.0,1,2.0,7,3.8,Apartment,High,Semi-Furnished,No,Yes,Yes,46476225
3431,7,,3,1.0,26,5.4,Apartment,Low,Furnished,Yes,No,No,28919689
4802,6,4.0,2,3.0,30,27.1,House,Medium,Furnished,No,No,Yes,41828961
4462,5,1.0,1,3.0,30,11.2,Apartment,Medium,Semi-Furnished,Yes,Yes,No,37668988
3064,1,3.0,2,,24,28.7,House,High,Semi-Furnished,Yes,No,Yes,26910256
2317,7,5.0,1,2.0,35,2.9,Apartment,High,Semi-Furnished,Yes,No,No,23114340
4245,4,5.0,3,,28,22.9,Townhouse,Premium,Furnished,Yes,Yes,No,39709995
1298,3,5.0,3,0.0,15,16.3,Townhouse,Medium,Furnished,Yes,No,No,15177183
3983,7,3.0,1,2.0,11,32.1,Villa,Medium,Unfurnished,Yes,Yes,Yes,37159347
1022,6,3.0,3,2.0,35,31.6,House,Low,Semi-Furnished,Yes,No,No,9420795
4381,6,2.0,3,2.0,51,15.6,Apartment,Medium,Unfurnished,Yes,Yes,Yes,35516646
4253,2,5.0,2,2.0,41,25.3,Apartment,,Semi-Furnished,No,No,No,33888410
960,7,3.0,1,3.0,35,9.9,House,Medium,Furnished,Yes,Yes,Yes,14632043
5032,4,4.0,3,0.0,50,23.6,House,Medium,Furnished,Yes,No,No,40970834
2965,4,2.0,3,1.0,49,4.2,House,Medium,Semi-Furnished,Yes,Yes,No,26921839
5210,6,4.0,3,2.0,27,17.9,House,,Semi-Furnished,No,Yes,No,44380823
701,5,2.0,3,3.0,6,8.1,House,High,Unfurnished,Yes,No,No,11540997
1535,2,4.0,3,3.0,34,35.5,Apartment,Medium,Unfurnished,Yes,No,Yes,12495400
3438,3,1.0,3,3.0,34,,Apartment,Medium,Semi-Furnished,Yes,No,Yes,27700628
1588,3,1.0,1,3.0,15,24.0,House,High,,No,No,No,14082639
2445,7,2.0,2,3.0,46,15.1,House,High,Semi-Furnished,Yes,No,No,23044488
4446,6,3.0,1,2.0,47,12.3,Townhouse,High,Unfurnished,Yes,No,No,39351465
1324,3,4.0,1,0.0,18,8.9,House,,Semi-Furnished,Yes,No,Yes,15911668
4550,6,2.0,3,2.0,26,36.6,House,Medium,Unfurnished,No,Yes,Yes,37893665
1075,6,1.0,3,2.0,10,32.2,Villa,High,Unfurnished,No,No,Yes,14929456
1509,3,2.0,2,0.0,9,6.2,Apartment,Medium,Furnished,Yes,No,Yes,17615409
4005,3,3.0,3,3.0,14,30.1,House,Medium,,Yes,No,No,32436349
5250,7,3.0,1,2.0,20,17.3,House,Premium,Semi-Furnished,Yes,No,No,47358156
1482,4,4.0,1,3.0,15,1.6,House,Low,Semi-Furnished,Yes,No,Yes,18753066
2264,2,2.0,3,0.0,8,21.6,Apartment,High,Unfurnished,Yes,Yes,No,20883244
6046,6,4.0,2,3.0,24,6.1,Townhouse,High,Unfurnished,No,No,No,52628040
6437,5,4.0,2,1.0,34,9.2,Townhouse,Low,Unfurnished,Yes,No,No,53135932
3965,4,4.0,2,2.0,17,28.1,Apartment,High,Unfurnished,Yes,No,Yes,34425880
3154,6,3.0,1,2.0,29,11.0,Apartment,Medium,Furnished,Yes,No,Yes,28223627
2548,7,5.0,3,2.0,14,35.8,Apartment,High,Semi-Furnished,Yes,Yes,Yes,25836983
4155,3,2.0,3,3.0,38,26.6,Villa,High,Semi-Furnished,No,No,No,36754394
4025,3,4.0,3,0.0,35,33.5,House,High,Semi-Furnished,No,No,No,33402734
2233,2,1.0,2,2.0,52,25.0,Apartment,Low,Furnished,Yes,No,No,16846872
587,5,1.0,2,3.0,2,34.9,Villa,High,Unfurnished,No,No,Yes,10670620
1366,3,5.0,3,0.0,46,15.1,House,Premium,Furnished,No,No,No,16958665
6249,3,3.0,2,1.0,18,22.4,House,,Unfurnished,Yes,No,Yes,52164070
2979,5,4.0,2,1.0,3,21.1,House,Medium,Furnished,Yes,Yes,No,30186982
3367,3,4.0,1,2.0,37,,House,Low,Unfurnished,Yes,No,Yes,26416608
3276,4,4.0,2,3.0,9,7.4,House,High,Unfurnished,Yes,No,Yes,31811689
5185,4,2.0,2,3.0,9,23.5,Apartment,Low,Semi-Furnished,No,Yes,No,41144831
842,2,1.0,2,3.0,53,30.4,House,Medium,Unfurnished,Yes,No,Yes,4956515
950,1,1.0,1,1.0,12,15.4,Townhouse,Premium,Semi-Furnished,Yes,No,No,13005807
2118,6,5.0,1,2.0,30,34.8,House,Premium,Semi-Furnished,No,Yes,Yes,23443293
3394,1,2.0,3,0.0,11,15.5,Townhouse,Premium,Semi-Furnished,Yes,Yes,Yes,35422514
4510,3,3.0,2,1.0,6,7.8,House,Medium,Unfurnished,Yes,Yes,No,38218707
3418,5,3.0,2,,0,23.8,Villa,Low,Semi-Furnished,Yes,Yes,No,31490594
3119,1,1.0,2,0.0,0,17.4,Apartment,Medium,Unfurnished,Yes,No,Yes,25881566
6123,5,3.0,2,3.0,26,,Villa,Low,Furnished,Yes,Yes,Yes,56270092
1424,6,1.0,3,3.0,23,3.7,Apartment,High,Semi-Furnished,Yes,No,No,14456477
3908,5,1.0,1,2.0,2,8.6,Apartment,Medium,Semi-Furnished,Yes,No,Yes,32967931
3730,3,1.0,3,0.0,19,31.0,Apartment,Medium,Furnished,Yes,Yes,No,29587757
3314,1,5.0,1,0.0,15,35.8,Apartment,Low,Semi-Furnished,Yes,Yes,No,27255839
